stimulus,trial_type,group,response,scene,gist,score_identification,score_details,score_gist
osf_files/Objects/axe.jpg,survey-text-timed,3,"""""",animals_whale,whale (similar animals OK too) + killing,0,0,0
osf_files/Objects/axe.jpg,survey-text-timed,1,"""People surrounding a whale.""",animals_whale,whale (similar animals OK too) + killing,1,2,0
osf_files/Objects/axe.jpg,survey-text-timed,1,"""Meat cut with the person. """,animals_whale,whale (similar animals OK too) + killing,0,1,0
osf_files/Objects/axe.jpg,survey-text-timed,5,"""Dead animal on the ground surrounded by people""",animals_whale,whale (similar animals OK too) + killing,1,3,1
osf_files/Objects/axe.jpg,survey-text-timed,5,"""A shark being cut open.""",animals_whale,whale (similar animals OK too) + killing,1,2,1
osf_files/Objects/axe.jpg,survey-text-timed,1,"""Axe is on top of a gutted whale""",animals_whale,whale (similar animals OK too) + killing,1,4,1
osf_files/Objects/axe.jpg,survey-text-timed,2,"""There was a large fish, maybe a ahark?  There was an axe""",animals_whale,whale (similar animals OK too) + killing,1,2,0
osf_files/Objects/axe.jpg,survey-text-timed,2,"""Used to cut a whale""",animals_whale,whale (similar animals OK too) + killing,1,2,1
osf_files/Objects/axe.jpg,survey-text-timed,5,"""An animal being torn open by a group of men. An axe lays on the animal.""",animals_whale,whale (similar animals OK too) + killing,1,4,1
osf_files/Objects/axe.jpg,survey-text-timed,1,"""I don't remember""",animals_whale,whale (similar animals OK too) + killing,0,0,0
osf_files/Objects/axe.jpg,survey-text-timed,3,"""fireman in a burning building""",animals_whale,whale (similar animals OK too) + killing,0,0,0
osf_files/Objects/axe.jpg,survey-text-timed,5,"""I don't remember.""",animals_whale,whale (similar animals OK too) + killing,0,0,0
osf_files/Objects/axe.jpg,survey-text-timed,0,"""a black body bag with an axe on top.""",animals_whale,whale (similar animals OK too) + killing,0,1,0
osf_files/Objects/axe.jpg,survey-text-timed,3,"""There was a narwhal, or a similar animal, on the beach, laying there badly hurt or dead.""",animals_whale,whale (similar animals OK too) + killing,1,2,1
osf_files/Objects/basket.jpg,survey-text-timed,5,"""Dead person""",death_ditch,"boys (people, children, etc. OK too) + dead",0,1,0
osf_files/Objects/basket.jpg,survey-text-timed,5,"""I don't remember.""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
osf_files/Objects/basket.jpg,survey-text-timed,1,"""Nothing""",death_ditch,"boys (people, children, etc. OK too) + dead",0,0,0
